,Text
6157,"( ALOK VERMA) JUDGE RJ/ M.C.C.No.500/2015 20.04.2016 Ms. Archana Maheshwari, learned counsel for the applicant."
6158,That itself shows that opponent had right to carry on business with other agencies.
6159,"Appeal from the judgment and decree dated December 19, 1960 of the Allahabad High Court in Income-tax Reference No. 1588 of 1956."
6160,"In view of the aforesaid discussion, Special Appeal No. 592 of 2006 preferred by the respondent-appellants is dismissed."
6161,"Aggrieved against the order passed by the learned single Judge, the appellant-University has filed the aforesaid writ appeals."
6162,"Legislature   in   its   wisdom   u/s.   195   (3)   Code   of   Criminal  Procedure, 1973 has not declared   the Labour Court constituted u/s. 7 of the  Industrial Disputes Act, 1947 to be a ""Court"" for the purposes of section S.195(1)

(b) or 340 of the Code of Criminal Procedure 1973."
6163,"Mr. Amjad Ali and Mr. Kalyan Bandyopadhyay, learned Counsel appearing for the petitioners."
6164,That is how the appellant had come to file the above appeal.
6165,Learned counsel appearing for the University of Madras in W.P. No. 1700 of 1992 has taken us through the provisions of the Madras University Act and also the Statement of Objects and Reasons in detail.
6166,"In Puran Mal Vs. Director of Inspection (1974) 1 SCC 345, a Constitution Bench of the Apex Court, held that the material obtained by an illegal search, is not inadmissible into evidence, and can be acted upon, to record a conviction."
6167,"According to Mr. Pratap when the law allows the arrest of sistership, then it is sufficient for the plaintiff to plead that the defendant-ship is a sistership in order for the plaint to disclose a cause of action."
6168,Special Civil Application Nos. 23514 of 2005 and 352 of 2006 falling in Category I are also dismissed.
6169,"Though there are certain technicalities raised on the F.I.R., the other aspects pointed out by the Tribunal have confirmed the negligence on the part of the driver."
6170,"In any case, there is no evidence on record to show that the garage in question has been booked for unauthorized construction."
6171,"It is appropriate to mention that the report of the expert Shri D.B. Gaur, Executive Engineer(Ex. R-1), was disbelieved wherein he has opined that the building had become unfit and unsafe for human habitation, whereas the other report submitted by Shri Hem Chand Goel that the building was safe and fit for human habitation was accepted."
6172,It goes to his heirs displacing survivorship.
6173,"s. V. Gupte, Additional Solicitor-General, G. A. Pandaya and M. 1. Khowaja, for respondents Nos. 7, 8 and 9."
6174,"Manickyam was therefore transferred and posted on August 10, 1950 at Gudur and was given the 445th place in the order of seniority among the clerks in the Grain Shop Department of Bezwada District."
6175,The undisputed facts show that the petitioner's candidature was proposed by an independent member and was seconded by a member of the rival LDF.
6176,(Municipal Corporation of Delhi v. Gurnam Kaur ).
6177,"This power is to be exercised after giving an opportunity to the assessee of being heard and also after recording reasons therefor except where offices of both the ITOs are situated in the same city, locality or place."
6178,"If, in the above illustration, the Court desires to pronounce its decision on those questions of law, so as to make the ratio decidendi, it would be necessary to first restore the suit, then call for its record in exercise of its powers of revision (if it is not barred by the opening clause of Section 115, Civil P. C.), and then dismiss the suit as not maintainable."
6179,"Announced in the open court (RAJINDER SINGH) Dt. 01.09.2014 ACJ/ARC/CCJ (NE), KKD COURTS, DELHI."
6180,"The demand of dowry, cruelty or harassment based upon such demand and the date of death should not be too remote in time which, under the be treated as having become stale enough."
6181,It will not behove the prestige and glory of this Court as envisaged under the Constitution if earlier decisions are revised or recalled solely because a later Bench takes a different view of the issues involved.
6182,"To prove the forgery committed by accused Suruchi Sharma, PW10 Sh. V.S.V. Nagesh has deposed that as per loan file Ex.PW1/A, loan application was moved by accused Suruchi Sharma along with her husband accused Anuj Kumar Sharma on 10.04.2004."
6183,"Mr. Chahar submitted that the Magistrate had exceeded his jurisdiction and both the Session Judge and the High Court had misconstrued the provisions of Sections 190, 193 and 209 of the Code, in upholding the order of the learned Magistrate."
6184,"Microsoft Office 2000 Rs. 10,500/- Per unit 720 (In 5 Years) Rs. 75,60,000/- Microsoft Visual Rs. 12,600/- Per unit 180 (In 5 Years) Rs. 22,68,000/- Studio 6.0 Microsoft XP Rs. 6,200/- Per unit 144 (In 1 Year) Rs. 8,92,800/- Professional Version 2002"
6185,"(10) Mr. Dhanda contended with force that it is the provisions of the Sale of Goods Act which determine the legal requirements for transfer of a motor vehicle and that section 54 of the Transfer of Property Act, dose not have any application to the facts of the case."
6186,"In such circumstances, the court may not consider it expedient in the interest of justice to make a complaint."
6187,"COMPENSATION FOR SPECIAL DIET, CONVEYANCE AND ATTENDANT:
18."
6188,"It would be obvious that in the context and on the language here employed, if s. 19 of the Sea Customs Act were repealed there would no longer be any legal foundation for invoking the penal provisions of the Sea Customs Act to a contravention of a notification under s. 8(1) of the Foreign Exchange Regulation Act."
6189,"[382A; 374D]
    Caledonian Railway Co. v. Walker's Trustees, and Quin v.
Leathern, [1901] A.C. 495 (502), referred to.
    (3)	 Apart	from  Article 141 of  the  Constitution	 the policy of courts is to stand by precedent and not to disturb settled point."
6190,The other argument is that they were not properly wrapped and sealed when they were sent to the Chemical Examiner or the seal was tampered with later on.
6191,"In Manohar Lal Chopra vs. Rai Bahadur Rao Raja Seth Hiralal 1962 AIR(SC) 527 ], the law is stated in the following terms:
""The Code of Civil Procedure is undoubtedly not exhaustive: it does not lay down rules for guidance in respect of all situations nor does it seek to provide rules for decision of all conceivable cases which may arise."
6192,"The petitioners are the legal representatives of the deceased being the wife, two sons and parents of the deceased Shri Neeraj Dubey."
6193,"Since none is appeared on behalf of the applicant(s), case is adjourned."
6194,"After the marriage at Bombay on the 4th June, 1986, the spouses immediately left for Pune where the husband lives and where the husband's family had arranged a reception on the 7th June, 1986."
6195,It is for the Union of India to raise objection to the filing of the agreement and to give reasons for not going to arbitration.
6196,It will be relevant to quote the statement of Shri B.D. Kaushik which reads as follows :- Q. You have been issued a show cause notice.
6197,"Bench of the Punjab High Court rejected the writ petition of the appellant holding that the principles for determining seniority between direct recruits and promotees laid down in rule 1(f)(iii) and (iv), 1952 were not discriminatory and there was no infringement of Arts. 14 and 16(1) of the Constitution."
6198,"Thus, the application dated 2nd March, 2007 moved through M/s Swan Telecom Pvt. Ltd was of no use to Reliance ADA Group."
6199,"Shri Bijender Dhankar, Advocate for appellant nos. 5 & 6.
         Shri Saurabh Mohunta, Deputy Advocate General, Haryana          for the respondent-State."
6200,"In Sessions Trial No. 504 of 2001 charge was framed against all the accused under Sections 498-A, 304-B, 302 and 201 read with Section 34 of the Indian Penal Code."
6201,"So far as Rafiq (A.6) is concerned, as per the evidence of Anees (PW.1), Ashfaq (PW.2) and Usman Ali (PW.4), Rafiq used a Gupti for committing the crime."
6202,"In that case, the order of termination of the (1) A.I.R. 1960 S.C. 689. 

 (2) [1961] 1 S.C.R. 606. 

 (3) [1963] 3 S.C.R. 716. 

 appellant's service which was preceded by an enquiry into his alleged misconduct was based on the finding of miscon- duct which amounted to casting a stigma affecting his future career."
